sku,image_name,description,related_products
SHAN_ZAFRANI_GARAM_MASALA_50G,shan_zafrani_garam_masala_50g.jpg,"Elevate your culinary creations with Shan Zafrani Garam Masala, a premium blend of saffron-infused spices. This 50g pack offers a rich, aromatic flavor profile perfect for curries, meats, and vegetables.  Experience the authentic taste of Shan's signature blend, expertly crafted for consistent quality and flavor in every use.

Key features include a unique saffron infusion, a blend of carefully selected spices, and 'V-Locked' freshness packaging to preserve aroma and quality.  This versatile masala is free from artificial preservatives and additives, ensuring a pure and natural taste.

Enhance your dishes with the warm, inviting aroma and complex flavors of Shan Zafrani Garam Masala. Add a dash to your favorite recipes for an unforgettable culinary experience. Order yours today!",SHAN__KORMA_MASALA_50G | NATIONAL_GARAM_MASALA_50G | SHAN__NIHARI_MASALA_50G
SHAN__KARAHI_FRY_GOSHAT_MASALA50_G,shan__karahi_fry_goshat_masala50_g,"Elevate your cooking with Shan Karahi Gosht Masala, a premium blend of authentic spices for creating delicious Karahi dishes. This 50g pack delivers rich, aromatic flavors that transform ordinary meals into culinary masterpieces.  Experience the convenience of pre-measured ingredients, ensuring consistent taste and quality every time. Simply add to your favorite meat and vegetables for a restaurant-quality meal at home.

This expertly crafted masala contains a unique blend of carefully selected spices, including coriander, cumin, chili, and more, all perfectly balanced to create the signature taste of Karahi.  It's free from artificial preservatives and additives, offering the pure taste of natural spices.  The easy-to-use packet ensures mess-free cooking and precise measurements.

Perfect for beef, lamb, or chicken Karahi, this versatile masala is a must-have for every spice lover's kitchen.  Impress your family and friends with restaurant-style Karahi dishes without the hassle. Order yours today and experience the authentic taste of Shan!",SHAN__KORMA_MASALA_50G | SHAN__NIHARI_MASALA_50G | SHAN__SEEKH_KABAB_MASALA_50G
BAISAN_FLOUR_HALF_1_2KG,baisan_half_1_2kg,"Experience the authentic taste of Jalpur Besan Gram Flour, a staple in Indian cooking.  This premium 1.2kg bag provides a smooth, subtly nutty flavor perfect for various dishes, from savory snacks to delightful desserts. Made from high-quality chickpeas, our Besan is finely ground for optimal texture and ease of use.

This versatile flour is ideal for making pakoras, dhokla, and many more traditional Indian recipes.  It's a must-have for any kitchen seeking authentic South Asian flavors.  The bag features a resealable design to ensure freshness.

Elevate your culinary creations with the rich and consistent quality of Jalpur Besan.  Order yours today and discover the difference! ",No related products found.
SHAN__KORMA_MASALA_50G,shan__korma_masala_50g,"Create authentic Korma dishes with Shan Korma Masala! This 50g recipe and seasoning mix delivers rich, aromatic flavor in every bite.  Simply add to your favorite meats or vegetables for a restaurant-quality Korma experience at home.  Enjoy the convenience and delicious taste of Shan. 

This blend features a unique combination of carefully selected spices, perfectly balanced for a truly authentic Korma.  The 50g pack is ideal for multiple uses, ensuring consistent flavor and quality.  Shan Korma Masala is free from artificial preservatives and additives. 

Elevate your culinary skills with ease!  Perfect for both everyday cooking and special occasions.  Order your Shan Korma Masala today and experience the difference. ",SHAN__NIHARI_MASALA_50G | SHAN__KARAHI_FRY_GOSHAT_MASALA50_G | SHAN_ZAFRANI_GARAM_MASALA_50G
SHAN__NIHARI_MASALA_50G,shan__nihari_masala_50g,"Elevate your culinary creations with Shan Nihari Masala, a premium blend of authentic spices designed to create a rich and flavorful Nihari dish. This 50g pack offers the perfect amount to experience the traditional taste of this classic South Asian delicacy.  Our expertly crafted blend guarantees a consistently delicious result, every time.

This Nihari Masala contains a unique combination of hand-selected spices, perfectly balanced to achieve the signature deep, aromatic flavors of Nihari.  It's easy to use and adds incredible depth to your cooking. Simply follow the instructions on the pack for a restaurant-quality Nihari at home.

Impress your family and friends with an authentic Nihari experience.  Shan Nihari Masala is the secret ingredient to a truly unforgettable meal. Order yours today and discover the difference quality spices make!",SHAN__KORMA_MASALA_50G | SHAN__SEEKH_KABAB_MASALA_50G | SHAN_CHAT_MASALA_HARD_50G
NATIONAL__GARLIC_POWDER_50G,national__garlic_powder_50g,"Enhance your cooking with National Pure Garlic Powder! This 50g pack delivers a strong, fresh garlic aroma and flavor to all your dishes.  Made from freshly ground garlic, it's perfect for adding a zesty punch to soups, stews, sauces, and more. 

Our pure garlic powder is expertly processed to maintain its potent flavor and aroma.  It's a convenient and versatile way to add the delicious taste of fresh garlic without the prep work.  Each 50g pack provides consistent quality and flavor. 

Save time and elevate your culinary creations with National Pure Garlic Powder.  Its strong aroma and freshly ground texture make it an essential ingredient for any kitchen. Add a dash to your favorite recipes for an unforgettable burst of flavor!",NATIONAL_GARAM_MASALA_50G
NATIONAL_GARAM_MASALA_50G,national_garam_masala_50g,"Elevate your cooking with National Garam Masala Powder, a 50g pack of authentic, aromatic spice blend. This traditional mix of carefully selected spices creates rich, flavorful dishes.  It's perfect for curries, stews, and marinades, adding depth and warmth to your culinary creations.

This premium blend features a unique combination of 7 spices, finely ground for optimal flavor distribution.  The 50g pack is conveniently sized for both everyday cooking and special occasions.  It's free from artificial additives and preservatives, ensuring the pure taste of natural spices.

Add a dash to your favorite recipes or use it as a finishing spice for an extra layer of warmth and complexity.  Order your National Garam Masala today and experience the difference! ",SHAN_ZAFRANI_GARAM_MASALA_50G | SHAN__KORMA_MASALA_50G | SHAN__NIHARI_MASALA_50G
SHAN__SEEKH_KABAB_MASALA_50G,shan__seekh_kabab_masala_50g,"Create delicious Seekh Kababs with Shan's authentic Seekh Kabab Masala! This 50g pack provides a flavorful blend of spices, perfectly balancing traditional tastes for an exclusive BBQ experience.  Simply add to your ground meat mixture and grill to perfection.

Our expertly crafted recipe includes a unique combination of aromatic spices, ensuring tender and juicy kebabs every time.  The masala is vegetarian-friendly and easy to use, making it ideal for both beginners and experienced cooks.  It's free from artificial preservatives and additives.

Elevate your BBQ game with Shan's Seekh Kabab Masala.  Enjoy the rich, authentic flavors of South Asian cuisine with minimum effort. Order yours today and prepare for a culinary adventure!",SHAN__KORMA_MASALA_50G | SHAN__NIHARI_MASALA_50G | SHAN_CHAT_MASALA_HARD_50G
SHAN__ACHAR_GHOST_50G,shan__achar_ghost_50g,"Elevate your culinary creations with Shan Achar Gosht Masala, a premium blend of spices designed to deliver authentic South Asian flavors. This 50g pack offers a convenient way to infuse your dishes with rich, aromatic notes, transforming ordinary meals into extraordinary experiences.  Perfect for creating delicious and flavorful curries and stews. 

This expertly crafted masala combines the finest quality coriander, cumin, turmeric, and other carefully selected spices, all roasted and ground to perfection for consistent taste and aroma.  It's free from artificial preservatives and additives, ensuring the natural goodness of pure spices shines through in every bite.  The convenient 50g size is ideal for both everyday cooking and special occasions.

Unleash the authentic taste of Shan Achar Gosht Masala today! Simply add to your favorite meat dishes for a depth of flavor that will impress.  Experience the difference of using high-quality, authentic spices. Order now and savor the delicious results!",SHAN__KARAHI_FRY_GOSHAT_MASALA50_G | SHAN__KORMA_MASALA_50G | SHAN__NIHARI_MASALA_50G
SHAN_CHAT_MASALA_HARD_50G,shan_chat_masala_hard_50g,"Elevate your culinary creations with Shan Chaat Masala, a vibrant blend of spices perfect for adding a tangy, flavorful kick to your dishes.  This 100g pack is ideal for creating delicious chaat and other savory snacks.  It's the perfect finishing touch for a variety of recipes.

Shan Chaat Masala is a vegetarian-friendly seasoning mix, providing a zesty and aromatic garnish.  Its unique blend of spices creates a balanced flavor profile that enhances the taste of your favorite snacks and meals.  The 100g size is perfect for home use.

Add a sprinkle of Shan Chaat Masala to your chaat, salads, or even as a seasoning for roasted vegetables for an explosion of flavor.  Order yours today and experience the authentic taste of Shan!",SHAN__KORMA_MASALA_50G | SHAN_ZAFRANI_GARAM_MASALA_50G | NATIONAL_GARAM_MASALA_50G
