sku,image_name,description,related_products
SHAN_ZAFRANI_GARAM_MASALA_50G,shan_zafrani_garam_masala_50g.jpg,"Elevate your culinary creations with Shan Zafrani Garam Masala, a premium blend of aromatic spices. This 50g pack delivers rich, warm flavors perfect for curries, meats, and vegetables.  Its unique saffron-infused recipe adds a touch of luxury to any dish.

This authentic blend features a carefully balanced mix of hand-selected spices, including saffron, cardamom, cinnamon, cloves, and more.  'V-Locked' freshness ensures consistent quality and taste.  The masala is 100% natural, free from artificial preservatives and additives.

Enhance the taste of your favorite recipes effortlessly.  Use it generously in stews, stir-fries, or as a finishing sprinkle.  Experience the difference that authentic Shan spices make! Order yours today!",SHAN__KORMA_MASALA_50G | SHAN__NIHARI_MASALA_50G | NATIONAL_GARAM_MASALA_50G
BAISAN_FLOUR_HALF_1_2KG,baisan_half_1_2kg,"Experience the rich flavor of Jalpur Besan Gram Flour, perfect for traditional Indian dishes.  This 1.2kg bag provides ample supply for all your culinary creations. Made from high-quality chickpeas, our Besan is finely ground for smooth texture and consistent results.  It's a staple ingredient for pakoras, dhokla, and countless other recipes.

Jalpur Besan is known for its superior quality and authentic taste.  It's free from artificial additives and preservatives, ensuring the natural goodness of the chickpeas shines through. The bag features a resealable design to maintain freshness.  This versatile flour is a must-have for any Indian kitchen.

Elevate your cooking with the authentic taste of Jalpur.  Use it to create delicious snacks, savory dishes, and traditional sweets. Order your bag today and discover the difference quality makes! ",No related products found.
SHAN__KORMA_MASALA_50G,shan__korma_masala_50g,"Create restaurant-quality Korma at home with Shan Korma Masala! This authentic blend of spices delivers rich, aromatic flavor in every bite.  Simply add to your favorite meat or vegetable base for a delicious and convenient meal.  Perfect for busy weeknights or special occasions.

This 50g pack contains a perfectly balanced mix of premium spices, ensuring consistent taste and quality.  Shan Korma Masala is easy to use and requires minimal preparation, making it ideal for both novice and experienced cooks.  No artificial preservatives or additives.

Elevate your culinary skills with the rich, savory taste of Shan Korma Masala.  Enjoy the authentic flavors of Pakistan, easily and quickly!  Order yours today and experience the difference!",SHAN__NIHARI_MASALA_50G | SHAN_ZAFRANI_GARAM_MASALA_50G | SHAN_CHAT_MASALA_HARD_50G
SHAN__NIHARI_MASALA_50G,,"Unleash the rich, aromatic depths of authentic Nihari with SHAN__NIHARI_MASALA_50G!  Experience tender, melt-in-your-mouth meat and a deeply flavorful broth, effortlessly. This expertly blended spice mix delivers restaurant-quality Nihari at home, saving you time and effort. Elevate your culinary skills with this premium blend.

Our 50g pack contains a perfectly balanced mix of hand-picked spices, including aromatic ginger, warming cloves, and rich coriander.  It's easy to use – simply add to your favorite meat and simmer to perfection. No artificial colors or preservatives.  Enjoy the convenience of pre-measured spices for consistent results every time.


Create a memorable Nihari experience for family and friends.  Follow the simple recipe instructions on the pack for best results.  Order your SHAN__NIHARI_MASALA_50G today and embark on a culinary journey!  Experience the difference quality makes.
",SHAN__KORMA_MASALA_50G | SHAN_ZAFRANI_GARAM_MASALA_50G | SHAN_CHAT_MASALA_HARD_50G
NATIONAL__GARLIC_POWDER_50G,national__garlic_powder_50g,"Enhance your cooking with National Pure Garlic Powder! This 50g pack delivers a strong, fresh garlic aroma and flavor to all your dishes.  Made with freshly ground garlic, it's perfect for adding a zesty punch to soups, stews, sauces, and more. 

Our pure garlic powder is finely ground for easy blending and consistent flavor. It offers a strong aroma and freshly ground taste, unlike pre-ground garlic that loses its potency.  Each 50g pack is conveniently sized for home use.

Add a dash to your favorite recipes for an instant flavor boost!  This versatile spice is a must-have for any kitchen. Convenient, flavorful, and easy to use. Order yours today!",NATIONAL_GARAM_MASALA_50G
NATIONAL_GARAM_MASALA_50G,national_garam_masala_50g,"Elevate your culinary creations with National Garam Masala Powder! This authentic blend of 7 traditional spices delivers a rich, aromatic flavor to curries, stews, and more.  Perfect for adding depth and warmth to your favorite dishes. 

Our 50g pack offers a convenient size for home cooks.  This finely ground masala is made with premium ingredients and is free from artificial additives. Its versatile nature makes it ideal for both everyday cooking and special occasions. 

Experience the rich, complex taste of National Garam Masala.  Add a dash to enhance your meats, vegetables, or lentils.  Order yours today and transform your meals! ",SHAN_ZAFRANI_GARAM_MASALA_50G | SHAN__KORMA_MASALA_50G | SHAN__NIHARI_MASALA_50G
SHAN__ACHAR_GHOST_50G,,"Unleash the fiery fury of SHAN__ACHAR_GHOST_50G!  Experience the intense, authentic flavor of ghost pepper achar – a perfectly balanced blend of spicy heat and tangy sweetness. Perfect as a condiment, snack, or ingredient, this 50g jar delivers a powerful punch of flavor to elevate any dish. Prepare for a taste sensation that will leave you wanting more!

This premium achar boasts vibrant, chunky vegetables infused with the fiery heat of ghost peppers.  It’s carefully crafted using traditional recipes and the finest ingredients.  Features include: *50g convenient jar size*, *all-natural ingredients*, *intense ghost pepper flavor*, *versatile culinary applications*.  Experience the authentic taste of SHAN.

Spice up your life! Add a dollop to curries, stir-fries, sandwiches, or enjoy it straight from the jar.  Its unique flavor profile makes it a perfect addition to any meal. Order your SHAN__ACHAR_GHOST_50G today and discover the ultimate spicy treat!
",SHAN__KORMA_MASALA_50G | SHAN__NIHARI_MASALA_50G | SHAN_CHAT_MASALA_HARD_50G
SHAN_CHAT_MASALA_HARD_50G,shan_chat_masala_hard_50g,"Elevate your culinary creations with Shan Chat Masala, a vibrant blend of spices perfect for adding a tangy and aromatic kick to your favorite dishes. This 100g pack is ideal for creating delicious chaat, adding depth to snacks, or enhancing the flavor of various Indian dishes.  

Shan Chat Masala is a versatile seasoning mix, easily incorporated into a variety of recipes.  Its unique blend of spices provides a zesty and flavorful finish.  Suitable for vegetarians and free from artificial preservatives.

Spice up your life with Shan Chat Masala!  Add a sprinkle to your favorite chaat recipes, snacks, or curries for an explosion of authentic South Asian taste. Order yours today and experience the difference!",SHAN__KORMA_MASALA_50G | SHAN__NIHARI_MASALA_50G | NATIONAL_GARAM_MASALA_50G
,shan__karahi_fry_goshat_masala50_g,"Unleash the authentic taste of Pakistan with Shan Karahi Masala! This 50g pack of premium spice blend delivers the rich, aromatic flavors of a classic Karahi dish.  Effortlessly create restaurant-quality meals at home with this expertly crafted mix of spices.  Perfect for chicken, beef, or vegetables.

Shan Karahi Masala features a unique blend of carefully selected spices, expertly roasted and ground for optimum flavor.  It's free from artificial colors and preservatives, ensuring the natural goodness of the spices shines through. Simply add to your favorite protein and vegetables for a delicious, easy meal.

Elevate your cooking with the convenience and incredible taste of Shan Karahi Masala.  Its vibrant flavor adds depth and complexity to any dish. Order yours today and experience the difference! ",SHAN__KORMA_MASALA_50G | SHAN__NIHARI_MASALA_50G | SHAN_CHAT_MASALA_HARD_50G
,shan__seekh_kabab_masala_50g,"Create delicious Seekh Kababs with Shan's authentic Seekh Kabab Masala! This 50g pack delivers the perfect blend of spices for juicy, flavorful kebabs.  Simply follow the easy instructions for restaurant-quality results at home. Impress your family and friends with this BBQ favorite.

This premium seasoning mix contains a unique combination of spices, expertly crafted to create the signature taste of Seekh Kababs.  It's easy to use and adds a burst of flavor to your grilling. Suitable for vegetarians and perfect for BBQs!

Elevate your grilling game today!  Order your Shan Seekh Kabab Masala now and experience the difference authentic spices make.  Perfect for both beginners and experienced cooks. Enjoy!",SHAN__KORMA_MASALA_50G | SHAN__NIHARI_MASALA_50G | SHAN_CHAT_MASALA_HARD_50G
